Nome;Longitudine;Latitudine
Campanile della Basilica di San Domenico;11.343968;44.489763
Campanile della Basilica di San Petronio;11.343248;44.493912
Campanile della Basilica Santa Maria dei Servi;11.352383;44.491132
Campanile della Cattedrale di San Pietro;11.342877;44.495761
Campanile della Chiesa dei Santi Bartolomeo e Gaetano;11.347041;44.493997
Campanile della Chiesa di San Giacomo Maggiore;11.348966;44.495371
Campanile della Chiesa di San Girolamo della Certosa;11.311236;44.496655
Le due Torri: Garisenda e degli Asinelli;11.346471;44.49399
Torre Accursi o dell'Orologio;11.342692;44.494188
Torre Agresti;11.340986;44.493752
Torre Alberici;11.346835;44.493595
Torre Azzoguidi;11.34444;44.495263
Torre Carrari;11.344863;44.49265
Torre dell'Arengo;11.342562;44.494516
Torre Galluzzi;11.342651;44.491965
Torre Guidozagni;11.34527;44.497326
Torre Lambertini;11.343907;44.494487
Torre Lapi;11.339393;44.494454
Torre Prendiparte o Coronata;11.3445;44.49597
Torre Uguzzoni;11.346076;44.495373
